Option,Yes,"No, they were too harsh","No, they were too lenient",No opinion,Not familiar enough to answer
"No, I do not feel inadequate relative to other Brown students",119,143,29,44,99
"Not No, I do not feel inadequate relative to other Brown students",173,124,60,59,148
