Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
"No, I do not feel inadequate relative to other Brown students",142,145,40,82,24
"Not No, I do not feel inadequate relative to other Brown students",151,243,45,102,24
