Option,Very conservative,Somewhat cons,Centrist,Somewhat liberal,Very lib,No opinion
"No, I do not feel inadequate relative to other Brown students",5,28,35,117,227,17
"Not No, I do not feel inadequate relative to other Brown students",4,27,30,159,328,12
