Option,Very conservative,Somewhat cons,Centrist,Somewhat liberal,Very lib,No opinion
"No, I do not feel inadequate relative to other Brown students",20,77,72,157,63,45
"Not No, I do not feel inadequate relative to other Brown students",7,67,66,214,152,60
