Option,Very positive,Somewhat positive,Neutral,Somewhat negative,Very negative,I have not interacted with grad students
"Yes, about my socioeconomic status",64,49,38,3,0,11
"Not Yes, about my socioeconomic status",346,276,146,12,4,45
