Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove,Not familiar enough to answer
"Yes, about my sex/love life",21,58,26,50,37,9
"Not Yes, about my sex/love life",90,175,94,233,178,25
