Option,Yes,"No, they were too harsh","No, they were too lenient",No opinion,Not familiar enough to answer
"No, I do not feel inadequate relative to other Brown students",163,151,14,41,60
"Not No, I do not feel inadequate relative to other Brown students",198,167,41,53,105
