Option,'50 minutes','40 minutes','30 minutes','20 minutes','10 minutes','0 minutes',I do not use my laptop in class
"No, I do not feel inadequate relative to other Brown students",3,8,22,44,166,59,130
"Not No, I do not feel inadequate relative to other Brown students",7,8,29,79,210,81,151
