Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
Hispanic,4,39,8,0,0,0,0,13,16,10
Not Hispanic,110,114,58,112,13,17,25,97,169,176
