Option,'50 minutes','40 minutes','30 minutes','20 minutes','10 minutes','0 minutes',I do not use my laptop in class
"American ""Indian/Alaska Native""",0,0,0,0,0,0,0
"Not American ""Indian/Alaska Native""",11,16,51,125,376,142,284
