Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
Asian,36,29,11,7,4,15,22,30,49,54
Not Asian,78,124,55,105,9,2,3,80,136,132
