Option,Very positive,Somewhat positive,Neutral,Somewhat negative,Very negative,I have not interacted with grad students
"American ""Indian/Alaska Native""",0,0,0,0,0,0
"Not American ""Indian/Alaska Native""",414,329,183,16,4,56
