Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
"American ""Indian/Alaska Native""",0,0,0,0,0
"Not American ""Indian/Alaska Native""",295,390,88,186,48
