Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
Black,29,13,31,4,3,0,0,9,10,7
Not Black,85,140,35,108,10,17,25,101,175,179
