Option,'50 minutes','40 minutes','30 minutes','20 minutes','10 minutes','0 minutes',I do not use my laptop in class
Native Hawaiian/Pacific Islander,0,0,0,0,0,0,0
Not Native Hawaiian/Pacific Islander,11,16,51,125,376,142,284
