Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
Other,5,6,2,5,5,2,0,10,10,7
Not Other,109,147,64,107,8,15,25,100,175,179
