Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree,Not familiar enough to answer
Native Hawaiian/Pacific Islander,0,2,1,0,0,0
Not Native Hawaiian/Pacific Islander,222,304,205,86,54,135
