Option,18-24,25-29,30-34,35-39,40 or older,I don't intend to get married,I am already married,Not sure
Native Hawaiian/Pacific Islander,0,1,1,0,0,0,0,1
Not Native Hawaiian/Pacific Islander,29,463,272,24,2,33,2,150
