Option,Very conservative,Somewhat cons,Centrist,Somewhat liberal,Very lib,No opinion
Native Hawaiian/Pacific Islander,0,0,0,0,0,0
Not Native Hawaiian/Pacific Islander,9,56,66,278,559,30
