Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove,Not familiar enough to answer
"American ""Indian/Alaska Native""",0,0,0,0,0,0
"Not American ""Indian/Alaska Native""",110,236,119,285,220,34
