Option,18-24,25-29,30-34,35-39,40 or older,I don't intend to get married,I am already married,Not sure
American Indian/Alaska Native,0,10,1,0,0,0,0,4
Not American Indian/Alaska Native,29,454,272,24,2,33,2,147
