Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
Native Hawaiian/Pacific Islander,0,1,0,0,0,0,0,2,0,0
Not Native Hawaiian/Pacific Islander,114,152,66,112,13,17,25,108,185,186
