Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree,Not familiar enough to answer
American Indian/Alaska Native,3,7,2,1,1,1
Not American Indian/Alaska Native,219,299,204,85,53,134
