Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
White,48,93,25,107,3,0,5,67,121,127
Not White,66,60,41,5,10,17,20,43,64,59
