Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
Native Hawaiian/Pacific Islander,0,0,0,0,0
Not Native Hawaiian/Pacific Islander,295,390,88,186,48
