Option,Yes,"No, they were too harsh","No, they were too lenient",No opinion,Not familiar enough to answer
Hetero,232,252,61,92,213
Gay,20,8,7,8,13
Bisexual,18,3,11,3,10
Other,19,4,9,1,12
