Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove,Not familiar enough to answer
Hetero,85,179,111,248,198,27
Gay,3,23,6,14,7,3
Bisexual,13,16,1,9,4,3
Other,10,16,1,12,5,0
