Option,Very conservative,Somewhat cons,Centrist,Somewhat liberal,Very lib,No opinion
Hetero,25,141,123,314,160,89
Gay,0,2,4,20,23,7
Bisexual,0,1,8,21,11,5
Other,1,2,3,15,18,6
