Option,Very conservative,Somewhat cons,Centrist,Somewhat liberal,Very lib,No opinion
Hetero,7,53,65,252,437,28
Gay,1,0,0,9,45,0
Bisexual,0,1,0,10,33,2
Other,1,1,0,7,36,0
