Option,Yes,"No, they were too harsh","No, they were too lenient",No opinion,Not familiar enough to answer
Hetero,291,290,38,83,144
Gay,25,14,4,6,7
Bisexual,23,7,6,2,7
Other,21,7,5,3,7
