Option,'50 minutes','40 minutes','30 minutes','20 minutes','10 minutes','0 minutes',I do not use my laptop in class
Hetero,9,12,45,112,319,117,234
Gay,0,2,2,4,23,9,16
Bisexual,0,1,3,5,17,6,14
Other,0,0,1,4,15,7,18
