Option,Very positive,Somewhat positive,Neutral,Somewhat negative,Very negative,I have not interacted with grad students
Hetero,355,273,154,13,4,47
Gay,17,20,13,1,0,5
Bisexual,23,17,4,1,0,1
Other,16,15,11,1,0,2
