Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Hetero,60,297,301,166,26
Gay,2,25,13,14,1
Bisexual,2,15,11,16,2
Other,1,10,10,21,3
