Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
Hetero,234,326,80,163,47
Gay,22,21,4,9,0
Bisexual,15,20,2,8,1
Other,20,20,1,4,0
