Option,Yes,"No, they were too harsh","No, they were too lenient",No opinion,Not familiar enough to answer
Strongly approve,68,2,23,3,16
Somewhat approve,102,31,18,21,65
No opinion,28,16,3,39,34
Somewhat disapprove,62,93,27,26,76
Strongly disapprove,32,128,18,14,28
Not familiar enough to answer,3,0,1,1,28
