Option,Very conservative,Somewhat cons,Centrist,Somewhat liberal,Very lib,No opinion
Strongly approve,4,17,19,42,24,6
Somewhat approve,5,31,18,101,59,23
No opinion,1,16,17,49,21,16
Somewhat disapprove,5,42,47,97,64,30
Strongly disapprove,12,39,33,71,42,23
Not familiar enough to answer,0,2,4,12,7,9
