Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove,Not familiar enough to answer
Strongly approve,112,0,0,0,0,0
Somewhat approve,0,237,0,0,0,0
No opinion,0,0,120,0,0,0
Somewhat disapprove,0,0,0,285,0,0
Strongly disapprove,0,0,0,0,220,0
Not familiar enough to answer,0,0,0,0,0,34
