Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
Strongly approve,44,8,22,23,15
Somewhat approve,125,10,44,32,25
No opinion,62,3,25,17,13
Somewhat disapprove,160,18,50,37,19
Strongly disapprove,115,12,42,30,20
Not familiar enough to answer,11,3,8,7,5
