Option,"No, I do not feel inadequate relative to other Brown students","Not No, I do not feel inadequate relative to other Brown students"
Strongly approve,50,61
Somewhat approve,91,142
No opinion,50,70
Somewhat disapprove,126,157
Strongly disapprove,108,107
Not familiar enough to answer,7,27
