Option,Grad students have been mentors (formal or informal) to me,Not Grad students have been mentors (formal or informal) to me
Strongly approve,36,76
Somewhat approve,64,173
No opinion,26,93
Somewhat disapprove,67,216
Strongly disapprove,47,171
Not familiar enough to answer,5,29
