Option,"American ""Indian/Alaska Native""","Not American ""Indian/Alaska Native"""
Strongly approve,0,110
Somewhat approve,0,236
No opinion,0,119
Somewhat disapprove,0,285
Strongly disapprove,0,220
Not familiar enough to answer,0,34
