Option,Very positive,Somewhat positive,Neutral,Somewhat negative,Very negative,I have not interacted with grad students
Strongly approve,55,30,19,3,0,5
Somewhat approve,113,81,31,1,0,9
No opinion,46,41,23,3,0,5
Somewhat disapprove,113,102,51,3,1,14
Strongly disapprove,77,60,51,6,3,22
Not familiar enough to answer,9,15,9,0,0,1
