Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
Strongly approve,33,44,6,22,7
Somewhat approve,73,109,11,36,8
No opinion,34,33,21,28,3
Somewhat disapprove,85,111,31,45,12
Strongly disapprove,64,76,14,49,17
Not familiar enough to answer,6,17,5,5,1
