Option,Yes,"No, they were too harsh","No, they were too lenient",No opinion,Not familiar enough to answer
Strongly approve,78,6,13,4,10
Somewhat approve,132,30,13,18,41
No opinion,40,19,5,27,29
Somewhat disapprove,76,105,19,33,49
Strongly disapprove,34,157,5,12,12
Not familiar enough to answer,5,3,0,2,24
