Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Strongly approve,10,37,34,26,5
Somewhat approve,19,99,67,47,4
No opinion,9,42,48,21,0
Somewhat disapprove,21,106,92,61,4
Strongly disapprove,6,60,69,63,21
Not familiar enough to answer,0,8,25,1,0
