Option,Very conservative,Somewhat cons,Centrist,Somewhat liberal,Very lib,No opinion
Strongly approve,2,9,5,22,69,4
Somewhat approve,3,10,12,58,151,3
No opinion,0,7,8,35,62,6
Somewhat disapprove,0,14,16,96,147,9
Strongly disapprove,4,15,23,55,114,5
Not familiar enough to answer,0,1,2,12,16,2
