Option,Yes,"No, they were too harsh","No, they were too lenient",No opinion,Not familiar enough to answer
Multiple times a week,35,53,2,7,13
Once a week,58,84,15,15,30
Once a month,107,97,15,34,47
Once a semester,58,39,4,15,30
Never,106,48,19,25,46
