Option,"Physical sciences (incl. math, CS)","Not Physical sciences (incl. math, CS)"
18-24,9,20
25-29,135,317
30-34,67,196
35-39,6,17
40 or older,0,2
I don't intend to get married,6,26
I am already married,0,2
Not sure,40,103
