Option,American Indian/Alaska Native,Not American Indian/Alaska Native
18-24,0,29
25-29,10,454
30-34,1,272
35-39,0,24
40 or older,0,2
I don't intend to get married,0,33
I am already married,0,2
Not sure,4,147
