Option,A significant role,A moderate role,A small role,No role,No opinion
18-24,1,12,11,5,0
25-29,27,203,177,49,10
30-34,13,118,108,30,3
35-39,0,8,10,6,0
40 or older,1,0,0,1,0
I don't intend to get married,2,9,14,7,0
I am already married,0,0,1,1,0
Not sure,4,50,74,19,3
