Option,Non-University grants and scholarships,Not Non-University grants and scholarships
18-24,6,23
25-29,106,361
30-34,60,213
35-39,7,17
40 or older,0,2
I don't intend to get married,11,22
I am already married,0,2
Not sure,40,110
