Option,18-24,25-29,30-34,35-39,40 or older,I don't intend to get married,I am already married,Not sure
18-24,29,0,0,0,0,0,0,0
25-29,0,467,0,0,0,0,0,0
30-34,0,0,275,0,0,0,0,0
35-39,0,0,0,24,0,0,0,0
40 or older,0,0,0,0,2,0,0,0
I don't intend to get married,0,0,0,0,0,33,0,0
I am already married,0,0,0,0,0,0,2,0
Not sure,0,0,0,0,0,0,0,152
