Option,Native Hawaiian/Pacific Islander,Not Native Hawaiian/Pacific Islander
18-24,0,29
25-29,1,463
30-34,1,272
35-39,0,24
40 or older,0,2
I don't intend to get married,0,33
I am already married,0,2
Not sure,1,150
