Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree,Not familiar enough to answer
18-24,7,6,8,3,2,3
25-29,78,136,108,46,27,69
30-34,70,82,53,26,15,26
35-39,7,5,6,0,1,5
40 or older,1,0,0,0,1,0
I don't intend to get married,13,14,3,0,0,3
I am already married,0,0,2,0,0,0
Not sure,40,48,18,10,9,26
