Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
18-24,5,4,4,3,1,0,1,6,3,2
25-29,57,78,41,55,10,11,13,46,67,76
30-34,29,43,14,29,1,3,7,23,62,50
35-39,4,6,1,0,0,0,1,3,1,8
40 or older,0,0,0,0,0,0,0,1,1,0
I don't intend to get married,2,1,0,1,0,1,1,7,5,14
I am already married,0,0,0,0,0,0,0,0,1,1
Not sure,12,19,3,16,1,1,1,22,39,32
