Option,Hetero,Gay,Bisexual,Other
Very positive,355,17,23,16
Somewhat positive,273,20,17,15
Neutral,154,13,4,11
Somewhat negative,13,1,1,1
Very negative,4,0,0,0
I have not interacted with grad students,47,5,1,2
