Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Very positive,36,166,124,74,14
Somewhat positive,18,108,111,83,9
Neutral,8,59,64,43,10
Somewhat negative,1,4,6,5,0
Very negative,0,1,0,2,1
I have not interacted with grad students,2,12,33,9,0
