Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
Very positive,206,23,91,57,37
Somewhat positive,176,19,52,51,33
Neutral,98,9,31,25,20
Somewhat negative,9,0,3,1,3
Very negative,4,0,0,0,0
I have not interacted with grad students,27,3,11,10,4
