Option,Very conservative,Somewhat cons,Centrist,Somewhat liberal,Very lib,No opinion
Very positive,4,18,22,109,249,11
Somewhat positive,1,19,27,97,174,9
Neutral,3,13,12,48,101,3
Somewhat negative,0,2,1,1,10,1
Very negative,0,0,0,1,3,0
I have not interacted with grad students,1,3,4,21,21,6
