Option,Native Hawaiian/Pacific Islander,Not Native Hawaiian/Pacific Islander
Very conservative,0,9
Somewhat cons,0,56
Centrist,0,66
Somewhat liberal,0,278
Very lib,0,559
No opinion,0,30
