Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Very conservative,3,2,3,0,1
Somewhat cons,7,20,19,10,0
Centrist,6,20,29,8,3
Somewhat liberal,15,107,108,47,3
Very lib,29,196,158,148,27
No opinion,5,3,19,3,0
