Option,Grad students have been mentors (formal or informal) to me,Not Grad students have been mentors (formal or informal) to me
Very conservative,0,9
Somewhat cons,11,45
Centrist,15,50
Somewhat liberal,71,205
Very lib,143,416
No opinion,4,26
