Option,"No, I do not feel inadequate relative to other Brown students","Not No, I do not feel inadequate relative to other Brown students"
Very conservative,5,4
Somewhat cons,28,27
Centrist,35,30
Somewhat liberal,117,159
Very lib,227,328
No opinion,17,12
