Option,Very conservative,Somewhat cons,Centrist,Somewhat liberal,Very lib,No opinion
Very conservative,9,0,0,0,0,0
Somewhat cons,0,56,0,0,0,0
Centrist,0,0,66,0,0,0
Somewhat liberal,0,0,0,280,0,0
Very lib,0,0,0,0,561,0
No opinion,0,0,0,0,0,30
